icao_code,name
EDDC,Dresden Airport
EDDE,Erfurt-Weimar Airport
EDDF,Frankfurt Airport
EDDG,Münster Osnabrück Airport
EDDH,Hamburg Helmut Schmidt Airport
EDDK,Cologne Bonn Airport
EDDL,Düsseldorf Airport
EDDM,Munich Airport
EDDN,Nuremberg Airport
EDDP,Leipzig/Halle Airport
EDDR,Saarbrücken Airport
EDDS,Stuttgart Airport
EDDV,Hannover Airport
EDDW,Bremen Airport
EDFH,Frankfurt-Hahn Airport
EDFM,Mannheim-City Airport
EDGE,Eisenach-Kindel Airport
EDGS,Siegerland Airport
EDHB,Grube Airfield
EDHE,Uetersen-Heist Airfield
EDHI,Hamburg-Finkenwerder Airport
EDHK,Kiel-Holtenau Airport
EDHL,Lübeck Blankensee Airport
EDHN,Neumünster Airport
EDJA,Memmingen Allgau Airport
EDKA,Aachen-Merzbrück Airport
EDLD,Dinslaken-Schwarze Heide Airfield
EDLE,Essen-Mülheim Airport
EDLI,Bielefeld Airport
EDLN,Mönchengladbach Airport
EDLP,Paderborn Lippstadt Airport
EDLV,Weeze Airport
EDLW,Dortmund Airport
EDMA,Augsburg Airport
EDMO,Oberpfaffenhofen Airport
EDMS,Straubing Airport
EDNY,Friedrichshafen Airport
EDQD,Bayreuth Airport
EDQE,Burg Feuerstein Airport
EDQG,Giebelstadt Airport
EDQM,Hof-Plauen Airport
EDRB,Bitburg Airport
EDRZ,Zweibrücken Airport
EDSB,Karlsruhe Baden-Baden Airport
EDTL,Lahr Airport
EDVE,Braunschweig-Wolfsburg Airport
EDVK,Kassel Airport
EDWE,Emden Airport
EDWG,Wangerooge Airport
EDWI,JadeWeser Airport
EDWJ,Juist Airport
EDWL,Langeoog Airport
EDWR,Borkum Airport
EDWS,Norden-Norddeich Airport
EDWU,Varrelbusch Airfield
EDWY,Norderney Airport
EDWZ,Baltrum Airport
EDXB,Heide-Büsum Airport
EDXF,Flensburg-Schäferhaus Airport
EDXH,Helgoland-Düne Airport
EDXJ,Husum-Schwesing Airport
EDXO,Sankt Peter-Ording Airport
EDXW,Westerland Sylt Airport
EDXY,Wyk auf Föhr Airport
EERE,Rakvere Airfield
EEAA,Antsla Airfield
EECL,Tallinn Linnahall Heliport
EEEI,Ämari Air Base
EEHA,Humala Airfield
EEJI,Jõhvi Airfield
EEKA,Kärdla Airport
EEKE,Kuressaare Airport
EEKI,Karksi Airfield
EELM,Lange Airfield (Lennundusmuuseum)
EELU,Lyckholm Airstrip
EENA,Narva Airfield
EEPU,Pärnu Airport
EERD,Riidaja Airfield
EERI,Ridali Airfield
EERU,Ruhnu Airfield
EESE,Salme Heliport
EETN,Lennart Meri Tallinn Airport
EETU,Tartu Airport
EEVI,Viljandi Airfield
EEVO,Vormsi Airfield
EEVP,Vihterpalu Manor Heliport
EEVU,Varstu Airfield
EFET,Enontekio Airport
EFHA,Halli Airport
EFHK,Helsinki Vantaa Airport
EFHV,Hyvinkää Airfield
EFIT,Kitee Airport
EFIV,Ivalo Airport
EFJO,Joensuu Airport
EFJY,Jyväskylä Airport
EFKA,Kauhava Airfield
EFKE,Kemi-Tornio Airport
EFKI,Kajaani Airport
EFKJ,Kauhajoki Airfield
EFKK,Kokkola-Pietarsaari Airport
EFKS,Kuusamo Airport
EFKT,Kittilä Airport
EFKU,Kuopio Airport
EFLP,Lappeenranta Airport
EFMA,Mariehamn Airport
EFMI,Mikkeli Airport
EFOU,Oulu Airport
EFPO,Pori Airport
EFRO,Rovaniemi Airport
EFSA,Savonlinna Airport
EFSI,Seinäjoki Airport
EFSO,Sodankyla Airport
EFTP,Tampere-Pirkkala Airport
EFTU,Turku Airport
EFUT,Utti Air Base
EFVA,Vaasa Airport
EFVR,Varkaus Airport
EFYL,Ylivieska Airfield
EGAA,Belfast International Airport
EGAB,Enniskillen/St Angelo Airport
EGAC,George Best Belfast City Airport
EGAE,City of Derry Airport
EGBB,Birmingham Airport
EGBE,Coventry Airport
EGBJ,Gloucestershire Airport
EGBK,Sywell Aerodrome
EGBN,Nottingham Airport
EGBP,Cotswold Airport
EGCC,Manchester Airport
EGDJ,Upavon Aerodrome
EGDY,RNAS Yeovilton
EGEC,Campbeltown Airport
EGED,Eday Airport
EGEF,Fair Isle Airport
EGEH,Whalsay Airstrip
EGEI,Broadford Airstrip
EGEN,North Ronaldsay Airport
EGEO,Oban Airport
EGEP,Papa Westray Airport
EGER,Stronsay Airport
EGES,Sanday Airport
EGET,Lerwick / Tingwall Airport
EGEW,Westray Airport
EGFE,Haverfordwest Airport
EGFF,Cardiff International Airport
EGFH,Swansea Airport
EGGD,Bristol Airport
EGGP,Liverpool John Lennon Airport
EGGW,London Luton Airport
EGHC,Land's End Airport
EGHE,St. Mary's Airport
EGHH,Bournemouth Airport
EGHI,Southampton Airport
EGHJ,Bembridge Airport
EGHL,Lasham Airfield
EGHQ,Cornwall Airport Newquay
EGHR,Goodwood Aerodrome
EGJA,Alderney Airport
EGJB,Guernsey Airport
EGJJ,Jersey Airport
EGKA,Brighton City Airport
EGKB,London Biggin Hill Airport
EGKK,London Gatwick Airport
EGKR,Redhill Aerodrome
EGLC,London City Airport
EGLF,Farnborough Airport
EGLK,Blackbushe Airport
EGLL,London Heathrow Airport
EGMC,London Southend Airport
EGMD,Lydd London Ashford Airport
EGNC,Carlisle Lake District Airport
EGNH,Blackpool International Airport
EGNJ,Humberside Airport
EGNL,Barrow Walney Island Airport
EGNM,Leeds Bradford Airport
EGNO,Warton Aerodrome
EGNR,Hawarden Airport
EGNS,Isle of Man Airport
EGNT,Newcastle International Airport
EGNV,Teesside International Airport
EGNX,East Midlands Airport
EGOV,Anglesey Airport
EGPA,Kirkwall Airport
EGPB,Sumburgh Airport
EGPC,Wick Airport
EGPD,Aberdeen Dyce Airport
EGPE,Inverness Airport
EGPF,Glasgow International Airport
EGPH,Edinburgh Airport
EGPI,Islay Airport
EGPK,Glasgow Prestwick Airport
EGPL,Benbecula Airport
EGPN,Dundee Airport
EGPO,Stornoway Airport
EGPR,Barra Airport
EGPT,Perth/Scone Airport
EGPU,Tiree Airport
EGPW,Unst Airport
EGQL,Leuchars Station Airfield
EGQS,RAF Lossiemouth
EGSC,Cambridge City Airport
EGSH,Norwich Airport
EGSS,London Stansted Airport
EGSU,Duxford Aerodrome
EGTB,Wycombe Air Park
EGTE,Exeter International Airport
EGTK,Oxford (Kidlington) Airport
EGTO,Rochester Airport
EGUB,RAF Benson
EGUL,RAF Lakenheath
EGUN,RAF Mildenhall
EGVA,RAF Fairford
EGVN,RAF Brize Norton
EGVO,RAF Odiham
EGWU,RAF Northolt
EGXC,RAF Coningsby
EGXH,RAF Honington
EGXW,RAF Waddington
EGYM,RAF Marham
EGYP,Mount Pleasant Airport
EHAM,Amsterdam Airport Schiphol
EHBK,Maastricht Aachen Airport
EHEH,Eindhoven Airport
EHGG,Groningen Airport Eelde
EHGR,Gilze Rijen Air Base
EHKD,De Kooy Airfield / Den Helder Naval Air Station
EHLE,Lelystad Airport
EHLW,Leeuwarden Air Base
EHRD,Rotterdam The Hague Airport
EHSE,Breda International Airport
EHTE,Teuge Airport
EHTS,Terschelling Heliport
EHTW,Twente Airport
EHVK,Volkel Air Base
EHWO,Woensdrecht Air Base
EIBN,Bantry Aerodrome
EIBT,Belmullet Aerodrome
EICA,Connemara Regional Airport
EICK,Cork Airport
EICM,Galway Airport
EIDL,Donegal Airport
EIDW,Dublin Airport
EIIM,Inishmore Aerodrome
EIIR,Inisheer Aerodrome
EIKK,Kilkenny Airport
EIKN,Ireland West Knock Airport
EIKY,Kerry Airport
EILT,Letterkenny Airfield
EIMN,Inishmaan Aerodrome
EINN,Shannon Airport
EISG,Sligo Airport
EIWF,Waterford Airport
EKAH,Aarhus Airport
EKBI,Billund Airport
EKCH,Copenhagen Kastrup Airport
EKEB,Esbjerg Airport
EKKA,Midtjyllands Airport / Air Base Karup
EKLS,Læsø Airport
EKMB,Lolland Falster Maribo Airport
EKOD,Odense Hans Christian Andersen Airport
EKRK,Copenhagen Roskilde Airport
EKRN,Bornholm Airport
EKSB,Sønderborg Airport
EKSN,Sindal Airport
EKSP,Skrydstrup Air Base
EKSV,Skive Airport
EKTS,Thisted Airport
EKVG,Vágar Airport
EKVJ,Stauning Vestjylland  Airport
EKYT,Aalborg Airport
ELLX,Luxembourg-Findel International Airport
ENAL,"Ålesund Airport, Vigra"
ENAN,"Andøya Airport, Andenes"
ENAT,Alta Airport
ENBL,"Førde Airport, Bringeland"
ENBN,"Brønnøysund Airport, Brønnøy"
ENBO,Bodø Airport
ENBR,"Bergen Airport, Flesland"
ENBS,Båtsfjord Airport
ENBV,Berlevåg Airport
ENCN,"Kristiansand Airport, Kjevik"
ENDU,Bardufoss Airport
ENEV,"Harstad/Narvik Airport, Evenes"
ENFG,"Fagernes Airport, Leirin"
ENFL,Florø Airport
ENGM,"Oslo Airport, Gardermoen"
ENHA,"Hamar Lufthavn, Stavsberg"
ENHD,"Haugesund Airport, Karmøy"
ENHF,Hammerfest Airport
ENHK,Hasvik Airport
ENHV,"Honningsvåg Airport, Valan"
ENKB,"Kristiansund Airport, Kvernberget"
ENKL,Gol Airport
ENKR,"Kirkenes Airport, Høybuktmoen"
ENLK,Leknes Airport
ENMH,Mehamn Airport
ENML,"Molde Airport, Årø"
ENMS,"Mosjøen Airport, Kjærstad"
ENNA,"Lakselv Airport, Banak"
ENNM,Namsos Airport
ENNO,Notodden Airport
ENOL,Ørland Airport
ENOV,"Ørsta-Volda Airport, Hovden"
ENRA,"Mo i Rana Airport, Røssvoll"
ENRM,"Rørvik Airport, Ryum"
ENRO,Røros Airport
ENRS,Røst Airport
ENRY,"Moss Airport, Rygge"
ENSB,"Svalbard Airport, Longyear"
ENSD,"Sandane Airport, Anda"
ENSG,"Sogndal Airport, Haukåsen"
ENSH,"Svolvær Airport, Helle"
ENSK,"Stokmarknes Airport, Skagen"
ENSN,Skien Airport
ENSO,"Stord Airport, Sørstokken"
ENSR,Sørkjosen Airport
ENSS,"Vardø Airport, Svartnes"
ENST,"Sandnessjøen Airport, Stokka"
ENTC,"Tromsø Airport, Langnes"
ENTO,"Sandefjord Airport, Torp"
ENVA,"Trondheim Airport, Værnes"
ENVD,Vadsø Airport
ENZV,"Stavanger Airport, Sola"
EPBY,Bydgoszcz Ignacy Jan Paderewski Airport
EPGD,Gdańsk Lech Wałęsa Airport
EPKK,Kraków John Paul II International Airport
EPKT,Katowice Wojciech Korfanty International Airport
EPLB,Lublin Airport
EPLL,Łódź Władysław Reymont Airport
EPMO,Modlin Airport
EPPO,Poznań-Ławica Airport
EPRA,Warsaw Radom Airport
EPRU,Częstochowa-Rudniki Airport
EPRZ,Rzeszów-Jasionka Airport
EPSC,Solidarity Szczecin–Goleniów Airport
EPSK,Słupsk-Krȩpa Airfield
EPSY,Olsztyn-Mazury Airport
EPWA,Warsaw Chopin Airport
EPWR,Copernicus Wrocław Airport
EPZG,Zielona Góra-Babimost Airport
LELI,El Molinillo Airfield
LEGP,El Rinconcillo de Guadalupe
ESDF,Ronneby Airport
ESGG,Göteborg Landvetter Airport
ESGJ,Jönköping Airport
ESGL,Lidköping-Hovby Airport
ESGP,Säve Airport
ESGR,Skövde Airport
ESGT,Trollhättan-Vänersborg Airport
ESKK,Karlskoga Airport
ESKM,Mora Airport
ESKN,Stockholm Skavsta Airport
ESMK,Kristianstad Airport
ESMO,Oskarshamn Airport
ESMQ,Kalmar Airport
ESMS,Malmö Sturup Airport
ESMT,Halmstad Airport
ESMX,Växjö Kronoberg Airport
ESND,Sveg Airport
ESNG,Gällivare Airport
ESNK,Kramfors-Sollefteå Höga Kusten Airport
ESNL,Lycksele Airport
ESNN,Sundsvall-Härnösand Airport
ESNO,Örnsköldsvik Airport
ESNQ,Kiruna Airport
ESNS,Skellefteå Airport
ESNU,Umeå Airport
ESNV,Vilhelmina South Lapland Airport
ESNX,Arvidsjaur Airport
ESNY,Söderhamn Airport
ESNZ,Åre Östersund Airport
ESOE,Örebro Airport
ESOH,Hagfors Airport
ESOK,Karlstad Airport
ESOW,Stockholm Västerås Airport
ESPA,Luleå Airport
ESSA,Stockholm-Arlanda Airport
ESSB,Stockholm-Bromma Airport
ESSD,Dala Airport
ESSF,Hultsfred Airport
ESSK,Gävle Sandviken Airport
ESSL,Linköping City Airport
ESSP,Norrköping Airport
ESST,Torsby Airport
ESSU,Eskilstuna Airport
ESSV,Visby Airport
ESSW,Västervik Airport
ESTA,Ängelholm-Helsingborg Airport
ESUD,Storuman Airport
ESUE,Idre Airport
ESUP,Pajala Airport
ESUT,Hemavan Airport
ETAD,Spangdahlem Air Base
ETAR,Ramstein Air Base
ETHF,Fritzlar Army Airfield
ETIK,Illesheim Army Heliport
ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase
ETNG,Geilenkirchen Air Base
ETNL,Rostock-Laage Airport
ETNS,Schleswig Air Base
ETOU,Wiesbaden Army Airfield
ETSI,Ingolstadt Manching Airport
EVLA,Liepāja International Airport
EVRA,Riga International Airport
EVVA,Ventspils International Airport
EYKA,Kaunas International Airport
EYPA,Palanga International Airport
EYPP,Panevėžys Air Base
EYSA,Šiauliai International Airport
EYVI,Vilnius International Airport
FAAB,Alexander Bay Airport
FAAG,Aggeneys Airport
FAAL,Alldays Airport
FABE,Bisho Airport
FABL,Bram Fischer International Airport
FACD,Cradock Airport
FACT,Cape Town International Airport
FADK,Mubatuba Airport
FADQ,Zulu Inyala Airport
FAEL,King Phalo Airport
FAEM,Empangeni Airport
FAER,Ellisras Matimba Airport
FAFB,Ficksburg Sentraoes Airport
FAGC,Grand Central Airport
FAGG,George Airport
FAGI,Giyani Airport
FAGM,Rand Airport
FAHL,Hluhluwe Airport
FAHR,Harrismith Airport
FAHS,Hoedspruit Air Force Base Airport
FAKD,P C Pelser Airport
FAKM,Kimberley Airport
FAKN,Kruger Mpumalanga International Airport
FAKP,Komatipoort Airport
FAKU,Johan Pienaar Airport
FAKZ,Kleinsee Airport
FALA,Lanseria International Airport
FALC,Lime Acres Finsch Mine Airport
FALD,Londolozi Airport
FALE,King Shaka International Airport
FALO,Louis Trichardt Airport
FALW,Langebaanweg Airport
FALY,Ladysmith Airport
FAMD,Malamala Airport
FAMG,Margate Airport
FAMM,Mmabatho International Airport
FAMN,Malelane Airport
FAMO,Mossel Bay Airport
FAMS,Morningside Farm Airport
FAMU,Mkuze Airport
FANC,Newcastle Airport
FANG,Ngala Airport
FANS,Nelspruit Airport
FAOB,Overberg Airport
FAOH,Oudtshoorn Airport
FAOR,O.R. Tambo International Airport
FAPA,Port Alfred Airport
FAPE,Chief Dawid Stuurman International Airport
FAPG,Plettenberg Bay Airport
FAPH,Hendrik Van Eck Airport
FAPJ,Port St Johns Airport
FAPK,Prieska Airport
FAPM,Pietermaritzburg Airport
FAPN,Pilanesberg International Airport
FAPP,Polokwane International Airport
FAPS,Potchefstroom Airport
FAQT,Queenstown Airport
FARB,Richards Bay Airport
FARI,Reivilo Airport
FARS,Robertson Airport
FASB,Springbok Airport
FASC,Secunda Airport
FASS,Sishen Airport
FASZ,Skukuza Airport
FATH,Thohoyandou Airport
FATN,Thaba Nchu Tar Airport
FATZ,Tzaneen Airport
FAUL,Prince Mangosuthu Buthelezi Airport
FAUP,Pierre Van Ryneveld Airport
FAUS,Ulusaba Airport
FAUT,K. D. Matanzima Airport
FAVB,Vryburg Airport
FAVG,Virginia Airport
FAVR,Vredendal Airport
FAVY,Vryheid Airport
FAWB,Wonderboom Airport
FAWK,Waterkloof Air Force Base
FAWM,Welkom Airport
FBGZ,Ghanzi Airport
FBJW,Jwaneng Airport
FBKE,Kasane Airport
FBKR,Khwai River Lodge Airport
FBLO,Lobatse Airport
FBMN,Maun Airport
FBOR,Orapa Airport
FBSK,Sir Seretse Khama International Airport
FBSN,Sua Pan Airport
FBSP,Selebi Phikwe Airport
FBSV,Savuti Airport
FBSW,Shakawe Airport
FBTL,Tuli Lodge Airport
FBTS,Tshabong Airport
FCBB,Maya-Maya Airport
FCBD,Djambala Airport
FCBK,Kindamba Airport
FCBL,Lague Airport
FCBM,Mouyondzi Airport
FCBS,Sibiti Airport
FCBY,Yokangassi Airport
FCBZ,Zanaga Airport
FCMM,Mossendjo Airport
FCOB,Boundji Airport
FCOE,Ewo Airport
FCOG,Gamboma Airport
FCOI,Impfondo Airport
FCOK,Kelle Airport
FCOM,Makoua Airport
FCOO,Owando Airport
FCOS,Souanke Airport
FCOT,Betou Airport
FCOU,Ouesso Airport
FCPA,Makabana Airport
FCPD,Ngot Nzoungou Airport
FCPP,Antonio Agostinho-Neto International Airport
FDMS,Matsapha Airport
FDSK,King Mswati III International Airport
FEFC,Carnot Airport
FEFF,Bangui M'Poko International Airport
FEFG,Bangassou Airport
FEFI,Birao Airport
FEFM,Bambari Airport
FEFN,N'Délé Airport
FEFO,Bouar Airport
FEFR,Bria Airport
FEFS,Bossangoa Airport
FEFT,Berbérati Airport
FEFW,Ouadda Airport
FEFY,Yalinga Airport
FEFZ,Zemio Airport
FEGE,M'Boki Airport
FEGF,Batangafo Airport
FEGM,Bakouma Airport
FEGO,Ouanda Djallé Airport
FEGR,Rafaï Airport
FEGU,Bouca Airport
FEGZ,Bozoum Airport
FGBT,Bata Airport
FGMY,President Obiang Nguema International Airport
FGSL,Malabo Airport
FHAW,RAF Ascension Island
FHSH,Saint Helena Airport
FIMP,Sir Seewoosagur Ramgoolam International Airport
FIMR,Sir Charles Gaetan Duval Airport
FKKB,Kribi Airport
FKKC,Tiko Airport
FKKD,Douala International Airport
FKKF,Mamfe Airport
FKKG,Bali Airport
FKKH,Kaélé Airport
FKKI,Batouri Airport
FKKJ,Yagoua Airport
FKKL,Salak Airport
FKKM,Foumban Nkounja Airport
FKKN,N'Gaoundéré Airport
FKKO,Bertoua Airport
FKKR,Garoua International Airport
FKKS,Dschang Airport
FKKU,Bafoussam Airport
FKKV,Bamenda Airport
FKKW,Ebolowa Airport
FKKY,Yaoundé Airport
FKYS,Yaoundé Nsimalen International Airport
FLBA,Mbala Airport
FLCP,Chipata Airport
FLKL,Kalabo Airport
FLKO,Kaoma Airport
FLKS,Kasama Airport
FLKY,Kasaba Bay Airport
FLLK,Lukulu Airport
FLMA,Mansa Airport
FLMF,Mfuwe Airport
FLMG,Mongu Airport
FLNA,Ngoma Airport
FLND,Peter Zuze Air Force Base
FLSN,Senanga Airport
FLSO,Southdowns Airport
FLSS,Sesheke Airport
FLSW,Solwesi Airport
FLZB,Zambezi Airport
FMCH,Prince Said Ibrahim International Airport
FMCI,Mohéli Bandar Es Eslam Airport
FMCV,Ouani Airport
FMCZ,Dzaoudzi Pamandzi International Airport
FMEE,Roland Garros Airport
FMEP,Pierrefonds Airport
FMFE,Ambohibary Airport
FMMC,Malaimbandy Airport
FMME,Antsirabe Airport
FMMG,Antsalova Airport
FMMH,Mahanoro Airport
FMMI,Ivato Airport
FMMK,Ankavandra Airport
FMML,Belo sur Tsiribihina Airport
FMMN,Miandrivazo Airport
FMMO,Maintirano Airport
FMMQ,Atsinanana Airport
FMMR,Morafenobe Airport
FMMS,Sainte Marie Airport
FMMT,Toamasina Ambalamanasy Airport
FMMU,Tambohorano Airport
FMMV,Morondava Airport
FMMX,Tsiroanomandidy Airport
FMMY,Vatomandry Airport
FMMZ,Ambatondrazaka Airport
FMNA,Arrachart Airport
FMNC,Mananara Nord Airport
FMND,Andapa Airport
FMNE,Ambilobe Airport
FMNF,Avaratra Airport
FMNG,Port Bergé Airport
FMNH,Antsirabe Airport
FMNL,Analalava Airport
FMNM,Amborovy Airport
FMNN,Fascene Airport
FMNO,Soalala Airport
FMNP,Mampikony Airport
FMNQ,Besalampy Airport
FMNR,Maroantsetra Airport
FMNS,Sambava Airport
FMNT,Tsaratanana Airport
FMNV,Vohemar Airport
FMNW,Ambalabe Airport
FMNX,Mandritsara Airport
FMSB,Antsoa Airport
FMSC,Mandabe Airport
FMSD,Tôlanaro Airport
FMSF,Fianarantsoa Airport
FMSG,Farafangana Airport
FMSI,Ihosy Airport
FMSJ,Manja Airport
FMSK,Manakara Airport
FMSL,Bekily Airport
FMSM,Mananjary Airport
FMSN,Samangoky Airport
FMSR,Morombe Airport
FMST,Toliara Airport
FMSU,Vangaindrano Airport
FMSV,Betioky Airport
FMSY,Ampanihy Airport
FMSZ,Ankazoabo Airport
FNAM,Ambriz Airport
FNBC,Mbanza Congo Airport
FNBG,Benguela 17th of September Airport
FNBJ,Dr. Antonio Agostinho Neto International Airport
FNCA,Cabinda Airport
FNCF,Cafunfo Airport
FNCH,Chitato Airport
FNCP,Capanda Airport
FNCT,Catumbela Airport
FNCV,Cuito Cuanavale Airport
FNCZ,Cazombo Airport
FNDU,Dundo Airport
FNGI,Ngjiva Pereira Airport
FNHU,Nova Lisboa Airport
FNKU,Kuito Airport
FNLB,Lobito Airport
FNLK,Lucapa Airport
FNLU,Quatro de Fevereiro International Airport
FNLZ,Luzamba Airport
FNMA,Malanje Airport
FNME,Menongue Airport
FNMO,Welwitschia Mirabilis International Airport
FNNG,Negage Airport
FNPA,Porto Amboim Airport
FNSA,Saurimo Airport
FNSO,Soyo Airport
FNSU,Sumbe Airport
FNUA,Luau Airport
FNUB,Lubango Airport
FNUE,Luena Airport
FNUG,Uige Airport
FNWK,Waco Kungo Airport
FNXA,Xangongo Airport
FNZE,N'zeto Airport
FNZG,Nzagi Airport
FOGA,Akieni Airport
FOGB,Booue Airport
FOGE,Ndende Airport
FOGF,Fougamou Airport
FOGG,M'Bigou Airport
FOGI,Moabi Airport
FOGJ,Ville Airport
FOGK,Koulamoutou Mabimbi Airport
FOGM,Mouilla Ville Airport
FOGO,Oyem Airport
FOGQ,Okondja Airport
FOGR,Lambarene Airport
FOGV,Minvoul Airport
FOGW,Alowe Airport
FOOB,Bitam Airport
FOOD,Moanda Airport
FOOE,Mekambo Airport
FOOG,Port Gentil Airport
FOOH,Omboue Hospital Airport
FOOI,Tchongorove Airport
FOOK,Makokou Airport
FOOL,Libreville Leon M'ba International Airport
FOOM,Mitzic Airport
FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport
FOOR,Lastourville Airport
FOOT,Tchibanga Airport
FOOY,Mayumba Airport
FPPR,Principe Airport
FPST,São Tomé International Airport
FQAG,Angoche Airport
FQBR,Beira Airport
FQCB,Cuamba Airport
FQCH,Chimoio Airport
FQIA,Inhaca Airport
FQIB,Ibo Airport
FQIN,Inhambane Airport
FQLC,Lichinga Airport
FQLU,Lumbo Airport
FQMA,Maputo Airport
FQMD,Mueda Airport
FQMP,Mocímboa da Praia Airport
FQNC,Nacala Airport
FQNP,Nampula Airport
FQPB,Pemba Airport
FQPO,Ponta do Ouro Airport
FQQL,Quelimane Airport
FQTT,Chingozi Airport
FQVL,Vilankulo Airport
FQXA,Xai-Xai Chongoene Airport
FSDR,Desroches Airport
FSIA,Seychelles International Airport
FSPP,Praslin Island Airport
FSSB,Bird Island Airport
FSSD,Denis Island Airport
FSSF,Frégate Island Airport (UNUSABLE)
FTTA,Sarh Airport
FTTB,Bongor Airport
FTTC,Abeche Airport
FTTD,Moundou Airport
FTTH,Lai Airport
FTTI,Ati Airport
FTTJ,N'Djamena International Airport
FTTK,Bokoro Airport
FTTL,Bol-Berim Airport
FTTM,Mongo Airport
FTTN,Am Timan Airport
FTTP,Pala Airport
FTTS,Bousso Airport
FTTU,Mao Airport
FTTY,Faya-Largeau Airport
FVCH,Chipinge Airport
FVCZ,Buffalo Range Airport
FVFA,Victoria Falls International Airport
FVKB,Kariba International Airport
FVMH,Mahenye Airport
FVMU,Mutare Airport
FVMV,Masvingo International Airport
FVTD,Tinfields Airport
FVTL,Gweru - Thornhill Air Base
FVWN,Hwange National Park Airport
FVWT,Hwange (Town) Airport
FWCD,Chelinda Malawi Airport
FWCL,Chileka International Airport
FWCM,Club Makokola Airport
FWDW,Dwangwa Airport
FWKA,Karonga Airport
FWKG,Kasungu Airport
FWKI,Kamuzu International Airport
FWLK,Likoma Island Airport
FWMY,Monkey Bay Airport
FWSM,Salima Airport
FWUU,Mzuzu Airport
FXLK,Lebakeng Airport
FXLR,Leribe Airport
FXLS,Lesobeng Airport
FXMA,Matsaile Airport
FXMF,Mafeteng Airport
FXMK,Mokhotlong Airport
FXMM,Moshoeshoe I International Airport
FXNK,Nkaus Airport
FXPG,Pelaneng Airport
FXQG,Quthing Airport
FXQN,Qacha's Nek Airport
FXSH,Sehonghong Airport
FXSK,Sekakes Airport
FXSM,Semonkong Airport
FXSS,Seshutes Airport
FXTA,Thaba-Tseka Airport
FXTK,Tlokoeng Airport
FYAA,Ai-Ais Airport
FYAR,Arandis Airport
FYAS,Aus Airport
FYGB,Gobabis Airport
FYGF,Grootfontein Airport
FYHI,Halali Airport
FYHV,Hartmann Valley Airstrip
FYKB,Karasburg Airport
FYKM,Katima Mulilo Airport
FYKT,Keetmanshoop Airport
FYLS,Lianshulu Lodge Airstrip
FYLZ,Luderitz Airport
FYME,Mount Etjo Airport
FYMG,Midgard Airport
FYMO,Mokuti Lodge Airport
FYNA,Namutoni Airport
FYNG,Ongava Lodge Airstrip
FYOA,Ondangwa Airport
FYOE,Omega Airport
FYOG,Oranjemund Airport
FYOO,Okaukuejo Airport
FYOP,Opuwa Airport
FYOS,Oshakati Airport
FYOW,Otjiwarongo Airport
FYRU,Rundu Airport
FYSA,Skorpion Mine Airport
FYSM,Swakopmund Municipal Aerodrome
FYSS,Sesriem Airport
FYTE,Terrace Bay Airport
FYTF,Twyfelfontein Airport
FYTM,Tsumeb Airport
FYUS,Uis Mine Airport
FYWB,Walvis Bay Airport
FYWE,Eros Airport
FYWH,Hosea Kutako International Airport
FZAA,Ndjili International Airport
FZAB,Ndolo Airport
FZAG,Muanda Airport
FZAJ,Boma Airport
FZAL,Luozi Airport
FZAM,Tshimpi Airport
FZAR,N'Kolo-Fuma Airport
FZBA,Inongo Airport
FZBI,Nioki Airport
FZBO,Bandundu Airport
FZBT,Kiri Airport
FZCA,Kikwit Airport
FZCB,Idiofa Airport
FZCE,Lusanga Airport
FZCV,Masi Manimba Airport
FZEA,Mbandaka Airport
FZEN,Basankusu Airport
FZFA,Libenge Airport
FZFD,Gbadolite Airport
FZFK,Gemena Airport
FZFP,Kotakoli Airbase
FZFU,Bumba Airport
FZGA,Lisala Airport
FZGN,Boende Airport
FZGV,Ikela Airport
FZIC,Bangoka International Airport
FZIR,Yangambi Airport
FZJH,Matari Airport
FZKA,Bunia Airport
FZKJ,Buta Zega Airport
FZMA,Bukavu Kavumu Airport
FZNA,Goma International Airport
FZNP,Beni Airport
FZOA,Kindu Airport
FZOC,Kamisuku Airport
FZOK,Kasongo Airport
FZOP,Punia Airport
FZQA,Lubumbashi International Airport
FZQC,Pweto Airport
FZQG,Kasenga Airport
FZQM,Kolwezi Airport
FZRA,Manono Airport
FZRB,Moba Airport
FZRF,Kalemie Airport
FZRM,Kabalo Airport
FZRQ,Kongolo Airport
FZSB,Kamina City Airport
FZSK,Kapanga Airport
FZTK,Kaniama Airport
FZUA,Kananga Airport
FZUG,Luiza Airport
FZUK,Tshikapa Airport
FZVA,Lodja Airport
FZVI,Lusambo Airport
FZVM,Mweka Airport
FZVR,Basongo Airport
FZVS,Ilebo Airport
FZWA,Mbuji Mayi Airport
FZWT,Tunta Airport
GABS,Modibo Keita International Airport
GAGM,Goundam Airport
GAGO,Gao Airport
GAKA,Kenieba Airport
GAKO,Koutiala Airport
GAKD,Kayes Dag Dag Airport
GAMB,Mopti Ambodédjo International Airport
GANK,Nara Airport
GANR,Nioro du Sahel Airport
GASK,Sikasso Airport
GATB,Timbuktu Airport
GAYE,Yélimané Airport
GBYD,Banjul International Airport
GCFV,Fuerteventura Airport
GCGM,La Gomera Airport
