icao_code,name
AYRI,Karimui Airport
AYRK,Kairuku Airport
AYRM,Maramuni Airport
AYRO,Kakoro(Koroko) Airstrip
AYSA,Suabi Airport
AYSD,Saidor Airport
AYSE,Simberi Airport
AYSF,Safia Airport
AYSG,Sila Airport
AYSH,Sabah Airport
AYSJ,Simbai Airport
AYSK,Sengapi Airstrip
AYSL,Sehulea Airport
AYSO,Selbang Airport
AYSP,Sapmanga Airport
AYSS,Sasereme Airport
AYSU,Suki Airport
AYSV,Sauren Airport
AYSW,Satwag Airport
AYSX,Masa Airport
AYTA,Tari Airport
AYTB,Tabubil Airport
AYTE,Telefomin Airport
AYTF,Tetebedi Airport
AYTG,Tagula Airport
AYTH,Tifalmin Airport
AYTI,Tapini Airport
AYTK,Tokua Airport
AYTN,Tekin Airport
AYTO,Kamberatoro Airport
AYTP,Tep Tep Airport
AYTR,Tarabo Airport
AYTS,Tsewi Airport
AYTT,Tarakbits Airport
AYTU,Tufi Airport
AYTV,Timbunke Airport
AYTW,Tawa Airport
AYTY,Terapo Airport
AYTZ,Tekadu Airport
AYUC,Umba Airport
AYUE,Uroubi Airport
AYUI,Buin Airport
AYUM,Aumo Airport
AYUP,Gulgubip Airport
AYUR,Upiara Airport
AYUY,Kuyol Airport
AYUZ,Uvol Airport
AYVL,Talasea Airport
AYVM,Torembi Airport
AYVN,Vanimo Airport
AYVO,Tonu Airport
AYVW,Wuvulu Island Airport
AYWB,Wabo Airport
AYWC,Wantoat Airport
AYWD,Wapenamanda Airport
AYWF,Wawoi Falls Airport
AYWG,Wanigela Airport
AYWH,Wanuma Airport
AYWJ,Wapolu Airport
AYWK,Wewak International Airport
AYWO,Wonenara Airport
AYWQ,Wakunai Airport
AYWS,Wasu Airport
AYWT,Woitape Airport
AYWU,Wau Airport
AYXE,Yeva Airport
AYXI,Sim Airport
AYXO,Tol Airport
AYXP,Wipim Airport
AYXW,Weam Airport
AYYE,Yalumet Airport
AYYK,Yenkis(Yankisa) Airport
AYYL,Tinboli Airport
AYYM,Munbil Airport
AYYO,Oram Airport
AYYP,Yapsiei Airport
AYYR,Yasuru Airport
AYZA,Zenag Airport
AYZI,Silur Airport
AYZN,Sissano Airport
AYZS,Ossima Airport
BGAA,Aasiaat Airport
BGBW,Narsarsuaq Airport
BGCH,Qasigiannguit Heliport
BGCO,Neerlerit Inaat Airport
BGGH,Nuuk Airport
BGJN,Ilulissat Airport
BGKK,Kulusuk Airport
BGMQ,Maniitsoq Airport
BGPT,Paamiut Airport
BGQQ,Qaanaaq Airport
BGSF,Kangerlussuaq Airport
BGSS,Sisimiut Airport
BGTL,Pituffik Space Base
BGUK,Upernavik Airport
BGUM,Uummannaq Heliport
BGUQ,Qaarsut Airport
BIAR,Akureyri Airport
BIBD,Bildudalur Airport
BIBF,Borgarfjörður eystri Airport
BIBK,Bakkafjörður Airport
BIBL,Blönduós Airport
BIBV,Breiðdalsvík Airport
BIDV,Djúpivogur Airport
BIEG,Egilsstaðir Airport
BIFF,Fáskrúðsfjörður Airport
BIFM,Fagurhólsmýri Airport
BIGF,Grundarfjörður Airport
BIGJ,Gjögur Airport
BIGR,Grímsey Airport
BIHK,Hólmavík Airport
BIHN,Hornafjörður Airport
BIHU,Húsavík Airport
BIIS,Ísafjörður Airport
BIKF,Keflavik International Airport
BIKP,Kópasker Airport
BIKR,Sauðárkrókur Airport
BINF,Norðfjörður Airport
BIOF,Ólafsfjörður Airport
BIPA,Patreksfjörður Airport
BIRE,Reykhólar Airport
BIRF,Rif Airport
BIRG,Raufarhöfn Airport
BIRK,Reykjavík Domestic Airport
BIRL,Reykjahlíð Airport
BISI,Siglufjörður Airport
BIST,Stykkishólmur Airport
BITE,Þingeyri Airport
BITN,Þórshöfn Airport
BIVM,Vestmannaeyjar Airport
BIVO,Vopnafjörður Airport
BKPR,Priština Adem Jashari International Airport
CBBC,Bella Bella (Campbell Island) Airport
ZGSG,Shaoguan Danxia Airport
ZBMV,Dengkou General Aviation Airport
ZSLI,Lishui Airport
LCNC,UNFICYP Nicosia Airport Heliport
CYAB,Arctic Bay Airport
CYAC,Cat Lake Airport
CYAD,La Grande-3 Airport
CYAG,Fort Frances Municipal Airport
CYAH,La Grande-4 Airport
CYAL,Alert Bay Airport
CYAM,Sault Ste Marie Airport
CYAQ,Kasabonika Airport
CYAS,Kangirsuk Airport
CYAT,Attawapiskat Airport
CYAY,St. Anthony Airport
CYAZ,Tofino / Long Beach Airport
CYBA,Banff Airport
CYBB,Kugaaruk Airport
CYBC,Baie-Comeau Airport
CYBD,Bella Coola Airport
CYBE,Uranium City Airport
CYBF,Bonnyville Airport
CYBG,CFB Bagotville / Saguenay-Bagotville Airport
CYBK,Baker Lake Airport
CYBL,Campbell River Airport
CYBQ,Tadoule Lake Airport
CYBR,Brandon Municipal Airport
CYBT,Brochet Airport
CYBV,Berens River Airport
CYBX,Lourdes-de-Blanc-Sablon Airport
CYCA,Cartwright Airport
CYCB,Cambridge Bay Airport
CYCC,Cornwall Regional Airport
CYCD,Nanaimo Airport
CYCE,Centralia / James T. Field Memorial Aerodrome
